"variable","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","C","se(C)","test","df","pvalue","formula","VariableName"
"Low CD8_Res_Bulk & High CD8_Exh_Bulk",-0.746779347472854,0.473890333740271,0.334084550184518,-2.23530045630785,0.0253976301371267,2.11019286278179,0.246209363559454,0.912118228022779,0.739464780067671,0.0441628074328985,62.6562037043858,8,1.4003548624632e-10,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--CD8_Exh_Bulk"
"Low CD4_Res_Bulk & High NK_Exh_Bulk",-0.92672880098529,0.395846487392872,0.391090192460251,-2.36960378667506,0.0178071564910458,2.52623183948457,0.183920534401117,0.851968172512678,0.745194361384024,0.0362825443709777,50.3380678247615,8,3.51872963932305e-08,"Comb_2status + Age + Stage + CMS","CD4_Res_Bulk--NK_Exh_Bulk"
"Low CD8_Exh_Bulk & High NK_Res_Bulk",0.903811374544499,2.46899546736818,0.349803366870126,2.58376979796213,0.0097726998332087,0.40502301977328,1.24384746943895,4.90087311158356,0.749193027759845,0.0399529818022804,72.0472356022976,8,1.92040758158235e-12,"Comb_2status + Age + Stage + CMS","CD8_Exh_Bulk--NK_Res_Bulk"
"Low CD8_Exh_Bulk & High CD4_Exh_Bulk",0.794396757127602,2.21310555389511,0.374480212649306,2.12133172940579,0.033893896027421,0.451853730266041,1.06229220126815,4.61062990656848,0.74247572815534,0.0416452676340102,47.980696720268,8,9.96383167317047e-08,"Comb_2status + Age + Stage + CMS","CD8_Exh_Bulk--CD4_Exh_Bulk"
"Low CD8_Res_Bulk & High NK_Exh_Bulk",-0.874184245689629,0.417202215407092,0.39194695871074,-2.2303636404404,0.0257233113595644,2.3969191990609,0.193517725005349,0.899440547555909,0.712674543501611,0.0421830527753601,38.3814992446287,8,6.39968222838138e-06,"Comb_2status + Age + Stage + CMS","CD8_Res_Bulk--NK_Exh_Bulk"
"Low CD4_Exh_Bulk & High NK_Exh_Bulk",-0.769816143116112,0.463098204277344,0.372060569500159,-2.06906134705517,0.0385403303021766,2.159369202393,0.223344142003913,0.960221946636697,0.795537010159652,0.0344812414727584,63.1906992790951,8,1.09870032755565e-10,"Comb_2status + Age + Stage + CMS","CD4_Exh_Bulk--NK_Exh_Bulk"
"Low NK_Res_Bulk & High NK_Exh_Bulk",-1.38864820568937,0.249412230887579,0.431204986918752,-3.22038994866963,0.00128016333641714,4.009426468146,0.107121191994612,0.580711059670135,0.77295676869675,0.040759216865888,56.854180359504,8,1.92264117943463e-09,"Comb_2status + Age + Stage + CMS","NK_Res_Bulk--NK_Exh_Bulk"
