"Res_Pct"	"Exh_Pct"	"Blood_Pct"	"gene"	"CLsPass"	"LcmPass"	"CancerPass"	"Marker"	"Cell.Type"	"Cell_Marker"	"Marker_Genes"	"HighInStroma"
8.64586160244321	10.0328251534412	8.45106335679908	"CTLA4"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CTLA4"	FALSE
8.66596230454848	9.97489154616098	8.90395801355715	"TIGIT"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--TIGIT"	FALSE
3.27102620128277	9.25002739973976	2.55410917990099	"TNFRSF9"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--TNFRSF9"	FALSE
7.69427083256483	9.22273916543729	8.62415918610978	"CARD16"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CARD16"	FALSE
3.94274273492699	9.08903675197214	6.95459605116208	"ACP5"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--ACP5"	FALSE
8.77826986339686	9.04993312056967	8.94155965593285	"GBP2"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--GBP2"	FALSE
2.61860392308564	8.62521898206773	6.61340040536697	"LAIR2"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--LAIR2"	FALSE
2.11293307946006	8.49907814282422	8.28871925000252	"MAGEH1"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--MAGEH1"	FALSE
1.81999331558644	8.36293073660903	1.15088050641791	"LAYN"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--LAYN"	FALSE
1.97508936279035	8.28327615382435	8.17899297990649	"CD79B"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CD79B"	FALSE
