"Res_Pct"	"Exh_Pct"	"Blood_Pct"	"gene"	"CLsPass"	"LcmPass"	"CancerPass"	"Marker"
12.531115791411	11.556224768482	10.5249574350085	"CXCR4"	TRUE	FALSE	TRUE	"Res"
12.0376741954476	11.9848198723964	10.0130744668274	"ZFP36"	FALSE	FALSE	FALSE	"Res"
11.9381994370814	10.353525319027	10.1092596306668	"CD69"	TRUE	FALSE	TRUE	"Res"
11.8309950001587	3.47240126875879	11.0992411734573	"ANXA1"	FALSE	FALSE	FALSE	"Res"
11.8021470859393	11.5261361399417	11.7016482261681	"SARAF"	FALSE	FALSE	FALSE	"Res"
11.6574474858385	9.92217820884402	8.66112259961669	"FOS"	FALSE	FALSE	FALSE	"Res"
11.3830154237047	10.7744162038592	10.312258227003	"GPR183"	TRUE	FALSE	TRUE	"Res"
11.3370887758348	11.1564676458966	10.3768097402323	"KLF6"	FALSE	FALSE	FALSE	"Res"
11.0005539544551	10.4477490396424	9.97142526061334	"JUNB"	FALSE	FALSE	FALSE	"Res"
10.226497019451	9.51891195549904	3.14397013653906	"RGS2"	FALSE	FALSE	FALSE	"Res"
10.1258892771636	9.90504322573489	9.43230193014638	"ADGRE5"	FALSE	FALSE	FALSE	"Res"
10.1230551135568	9.07099187262466	8.99899054347545	"YPEL5"	FALSE	FALSE	FALSE	"Res"
9.85814106381945	9.74109274253543	9.17286950879227	"ATP1B3"	FALSE	FALSE	FALSE	"Res"
9.59506890094239	8.25694966319637	4.42702378499584	"NR4A2"	FALSE	FALSE	FALSE	"Res"
9.56260823228136	8.33534893210356	8.58987923965515	"BTG2"	FALSE	FALSE	FALSE	"Res"
9.46759512270154	8.13970476155115	8.98842708548599	"ZFP36L2"	FALSE	FALSE	FALSE	"Res"
9.1917390018881	9.15491391670484	7.94289418293366	"PPP1R15A"	FALSE	TRUE	TRUE	"Res"
9.09284549075152	8.6273376831494	9.03691990691254	"SLC2A3"	FALSE	FALSE	FALSE	"Res"
8.79518658652314	3.78388320058528	7.51405896029985	"PTGER4"	TRUE	FALSE	TRUE	"Res"
8.66068260732973	7.67868586410022	8.64220052839003	"KLRB1"	TRUE	FALSE	TRUE	"Res"
8.55832603584523	8.11892398190621	8.03929413704997	"MCL1"	FALSE	FALSE	FALSE	"Res"
8.09412652082569	7.74754937236832	6.52237392408764	"MYADM"	FALSE	FALSE	FALSE	"Res"
8.03676218696349	6.37047517232905	7.97149156749828	"STOM"	FALSE	FALSE	FALSE	"Res"
7.90070337212668	6.97268913343419	3.58206103683396	"FOSB"	FALSE	FALSE	FALSE	"Res"
7.85599276007081	7.11885329064355	7.64111959190479	"USP36"	FALSE	FALSE	FALSE	"Res"
7.75992721685661	7.53821225634497	7.27577582990384	"JUN"	FALSE	FALSE	FALSE	"Res"
7.02770482940802	6.72145021583944	6.75416546336935	"ADAM19"	TRUE	TRUE	TRUE	"Res"
7.00472282344405	5.06963251148588	6.78784523412858	"ANKRD28"	FALSE	FALSE	FALSE	"Res"
6.587173003687	3.83822189171688	3.11138407610372	"RASGEF1B"	TRUE	TRUE	TRUE	"Res"
5.25654682828299	4.66321627602566	0.656881142577976	"NR4A3"	TRUE	TRUE	TRUE	"Res"
3.28587154213696	1.44222771589184	2.42133234461928	"ITGA1"	TRUE	FALSE	TRUE	"Res"
11.9977486381161	12.7557945890645	12.5947294144209	"IL32"	FALSE	FALSE	FALSE	"Exh"
11.8534538337929	12.2413946857522	10.5137676400139	"SAT1"	FALSE	FALSE	FALSE	"Exh"
11.6689937539128	12.0487091149338	11.2390374129371	"GAPDH"	FALSE	FALSE	FALSE	"Exh"
10.6602738197534	11.0295271935645	10.467836569988	"ENO1"	FALSE	FALSE	FALSE	"Exh"
8.26275920098507	10.951287753191	7.12125135653925	"TNFRSF4"	TRUE	TRUE	TRUE	"Exh"
8.4107276295211	10.7924237648158	2.90675626628993	"TNFRSF18"	TRUE	TRUE	TRUE	"Exh"
9.13352862070908	10.7547022690145	8.69439617039967	"BATF"	TRUE	FALSE	TRUE	"Exh"
9.72363934626764	10.6496400260756	9.81370187366984	"CTSC"	FALSE	FALSE	FALSE	"Exh"
1.84094721758882	10.4280464643265	1.96772097164241	"CCR8"	TRUE	TRUE	TRUE	"Exh"
7.80639782630833	10.4006925753803	8.83560372203314	"IL2RA"	TRUE	TRUE	TRUE	"Exh"
9.47097627116293	10.0402461872331	9.5343172841479	"PKM"	FALSE	FALSE	FALSE	"Exh"
8.64586160244321	10.0328251534412	8.45106335679908	"CTLA4"	TRUE	TRUE	TRUE	"Exh"
8.66596230454848	9.97489154616098	8.90395801355715	"TIGIT"	TRUE	TRUE	TRUE	"Exh"
8.3440869609881	9.56278526983934	8.86846071147073	"SYNGR2"	FALSE	FALSE	FALSE	"Exh"
8.62566916876104	9.42951262131271	8.41496190492012	"TNFRSF1B"	FALSE	FALSE	FALSE	"Exh"
6.96384983423598	9.4091345044973	8.82544367208234	"TBC1D4"	FALSE	FALSE	FALSE	"Exh"
9.34308375251779	9.39726001475332	8.73540566484722	"RHBDD2"	FALSE	FALSE	FALSE	"Exh"
0	9.34478452894571	0	"IL1R2"	FALSE	FALSE	FALSE	"Exh"
3.27102620128277	9.25002739973976	2.55410917990099	"TNFRSF9"	TRUE	TRUE	TRUE	"Exh"
7.69427083256483	9.22273916543729	8.62415918610978	"CARD16"	TRUE	FALSE	TRUE	"Exh"
6.1466990678001	9.15910617697927	3.46617324240538	"GK"	FALSE	FALSE	FALSE	"Exh"
